session_id,vin,ets_value,ignition_on,battery_voltage
70000120240403000000,12345123451234500,224,0,10
70000120240403000000,12345123451234500,187,0,9
70000120240403000000,12345123451234500,224,1,9
70000120240403000000,12345123451234500,218,1,12
70000120240403000000,12345123451234500,236,1,10
70000120240403000000,12345123451234500,240,0,11
70000120240403000000,12345123451234500,226,0,15
70000120240403000000,12345123451234500,227,0,10
70000120240403000000,12345123451234500,249,1,14
70000120240403000000,12345123451234500,241,0,9
70000120240403000000,12345123451234500,225,0,14
70000120240403000000,12345123451234500,235,1,9
70000120240403000000,12345123451234500,234,1,15
70000120240403000000,12345123451234500,222,0,9
70000120240403000000,12345123451234500,235,0,11
70000120240403000000,12345123451234500,187,0,14
70000120240403000000,12345123451234500,198,0,15
70000120240403000000,12345123451234500,243,0,13
70000120240403000000,12345123451234500,202,0,13
70000120240403000000,12345123451234500,249,0,13
70000120240403000000,12345123451234500,239,1,12
70000120240403000000,12345123451234500,215,1,11
70000120240403000000,12345123451234500,245,1,15
70000120240403000000,12345123451234500,192,0,15
70000120240403000000,12345123451234500,221,1,15
70000120240403000000,12345123451234500,209,1,10
70000120240403000000,12345123451234500,180,0,11
70000120240403000000,12345123451234500,223,1,11
70000120240403000000,12345123451234500,206,0,12
70000120240403000000,12345123451234500,242,0,11
70000120240403000000,12345123451234500,206,1,15
70000120240403000000,12345123451234500,208,0,14
70000120240403000000,12345123451234500,210,1,9
70000120240403000000,12345123451234500,186,1,13
70000120240403000000,12345123451234500,186,0,15
70000120240403000000,12345123451234500,207,0,13
70000120240403000000,12345123451234500,216,0,9
70000120240403000000,12345123451234500,221,1,10
70000120240403000000,12345123451234500,203,1,15
70000120240403000000,12345123451234500,213,0,14
70000120240403000000,12345123451234500,201,0,15
70000120240403000000,12345123451234500,188,0,11
70000120240403000000,12345123451234500,214,0,14
70000120240403000000,12345123451234500,207,1,11
70000120240403000000,12345123451234500,224,0,15
70000120240403000000,12345123451234500,234,1,14
70000120240403000000,12345123451234500,187,1,14
70000120240403000000,12345123451234500,182,0,10
70000120240403000000,12345123451234500,234,0,14
70000120240403000000,12345123451234500,246,0,9
70000120240403000000,12345123451234500,208,1,15
70000120240403000000,12345123451234500,195,1,9
70000120240403000000,12345123451234500,221,0,9
70000120240403000000,12345123451234500,201,1,13
70000120240403000000,12345123451234500,243,0,12
70000120240403000000,12345123451234500,194,0,12
70000120240403000000,12345123451234500,184,1,12
70000120240403000000,12345123451234500,241,1,13
70000120240403000000,12345123451234500,216,1,10
70000120240403000000,12345123451234500,223,0,12
70000120240403000000,12345123451234500,185,1,15
70000120240403000000,12345123451234500,231,0,10
70000120240403000000,12345123451234500,214,0,15
70000120240403000000,12345123451234500,248,0,13
70000120240403000000,12345123451234500,232,1,12
70000120240403000000,12345123451234500,183,0,13
70000120240403000000,12345123451234500,237,1,9
70000120240403000000,12345123451234500,216,0,15
70000120240403000000,12345123451234500,187,0,9
70000120240403000000,12345123451234500,195,1,10
70000120240403000000,12345123451234500,235,0,15
70000120240403000000,12345123451234500,186,1,11
70000120240403000000,12345123451234500,237,1,11
70000120240403000000,12345123451234500,202,1,11
70000120240403000000,12345123451234500,210,1,12
70000120240403000000,12345123451234500,219,0,9
70000120240403000000,12345123451234500,196,0,13
70000120240403000000,12345123451234500,180,0,9
70000120240403000000,12345123451234500,249,1,12
70000120240403000000,12345123451234500,224,0,13
70000120240403000000,12345123451234500,223,0,9
70000120240403000000,12345123451234500,214,0,10
70000120240403000000,12345123451234500,181,1,10
70000120240403000000,12345123451234500,225,0,13
70000120240403000000,12345123451234500,194,0,13
70000120240403000000,12345123451234500,246,1,13
70000120240403000000,12345123451234500,226,0,12
70000120240403000000,12345123451234500,225,1,13
70000120240403000000,12345123451234500,213,0,15
70000120240403000000,12345123451234500,207,0,12
70000120240403000000,12345123451234500,220,0,12
70000120240403000000,12345123451234500,237,0,12
70000120240403000000,12345123451234500,190,0,11
70000120240403000000,12345123451234500,209,1,14
70000120240403000000,12345123451234500,223,0,13
70000120240403000000,12345123451234500,195,1,9
70000120240403000000,12345123451234500,185,0,11
70000120240403000000,12345123451234500,194,0,13
70000120240403000000,12345123451234500,222,1,15
70000120240403000000,12345123451234500,231,0,13
70000120240403000000,12345123451234500,246,1,14
70000120240403000000,12345123451234500,242,0,14
70000120240403000000,12345123451234500,202,0,14
70000120240403000000,12345123451234500,240,0,14
70000120240403000000,12345123451234500,249,0,13
70000120240403000000,12345123451234500,228,0,10
70000120240403000000,12345123451234500,216,1,10
70000120240403000000,12345123451234500,208,0,14
70000120240403000000,12345123451234500,181,1,13
70000120240403000000,12345123451234500,245,0,12
70000120240403000000,12345123451234500,181,1,11
70000120240403000000,12345123451234500,235,0,12
70000120240403000000,12345123451234500,182,0,11
70000120240403000000,12345123451234500,192,0,15
70000120240403000000,12345123451234500,221,0,13
70000120240403000000,12345123451234500,205,1,15
70000120240403000000,12345123451234500,240,1,9
70000120240403000000,12345123451234500,247,1,12
70000120240403000000,12345123451234500,215,0,14
70000120240403000000,12345123451234500,248,0,9
70000120240403000000,12345123451234500,187,1,12
70000120240403000000,12345123451234500,214,1,12
70000120240403000000,12345123451234500,240,0,12
70000120240403000000,12345123451234500,238,1,14
